Primary_Accession,Uncertainty,Length,Disorder,CompositionalBias,Membrane
Q96I25,74.31,401,60.35,0,0
Q8N0X2,43.26,631,20.13,0,0
Q6Q759,100,2223,34.59,3.28,0
Q8N0X7,83.78,666,43.84,0,0
Q9NZD8,17.21,308,1.62,0,0
Q9UQ90,31.45,795,17.74,0,5.28
P0CW21,100,52,0,0,0
Q15513,100,63,0,0,0
Q9NYA1,5.47,384,5.47,0,0
Q9NRA0,45.57,654,37.16,0,0
P51688,0,502,2.19,0.8,0
P17947,61.48,270,41.48,0,0
Q99865,18.22,258,29.07,0,0
Q9BPZ2,18.6,258,29.07,0,0
O75830,8.4,405,1.98,0,0
Q01892,62.21,262,26.72,0,0
Q8N0Z3,100,855,60.7,0,0
Q8N5J4,54.84,248,0.81,0,0
Q14159,100,915,23.93,0,0
Q9Y657,9.54,262,33.21,0,0
Q5JUX0,24.03,258,24.81,0,0
Q56A73,22.89,249,10.44,0,0
Q08AE8,67.86,756,39.95,0,0
Q8WWL2,75.77,714,35.15,3.92,0
O43278,51.98,529,8.51,0,0
O43291,53.57,252,6.75,0,8.33
P49223,32.58,89,0,0,0
Q6UDR6,27.27,99,0,0,0
Q2M3C7,94.76,1700,39.59,0,0
O95149,0,360,29.17,0,0
Q9NZQ3,81.3,722,30.33,30.33,0
Q9H2V7,26.52,528,9.47,0,47.73
Q8IVW8,25.14,549,12.02,0,42.08
Q6ZMD2,19.73,512,9.96,0,49.61
Q9NS26,100,97,92.78,4.12,0
Q9NS25,100,103,100,3.88,0
Q9NY87,100,97,97.94,4.12,0
Q9BXN6,100,97,87.63,4.12,0
Q8TAD1,100,97,91.75,4.12,0
Q9Y5K1,17.17,396,3.79,0,0
Q6ZMY3,90.13,1216,62.99,0,0
Q9HCB6,9.17,807,9.54,0,0
Q9BUD6,12.69,331,9.97,0,0
Q6IQ16,15.05,392,3.57,0,0
O43791,6.95,374,4.01,0,0
Q8N9U9,100,137,50.36,0,0
Q13103,47.87,211,6.16,0,0
Q8TCT8,44.23,520,0.38,0,36.35
Q8TCT7,54.56,592,16.05,8.61,32.6
Q8IUH8,55.85,684,27.34,0,27.34
Q8TCT6,62.86,385,1.56,1.56,49.61
P35321,100,89,66.29,0,0
P22528,100,89,56.18,0,0
P35326,100,72,0,0,0
P35325,100,72,0,0,0
P22532,100,72,0,0,0
P22531,100,72,0,0,0
Q96RM1,100,72,0,0,0
Q9BYE4,100,73,0,0,0
P09486,13.86,303,12.54,15.84,0
Q7Z699,72.75,444,16.89,0.9,0
Q7Z698,70.33,418,34.93,0,0
Q2MJR0,74.39,410,39.27,17.8,0
P35270,0,261,3.45,0,0
Q14515,61.14,664,61.3,0,0
Q5BIV9,100,151,31.79,59.6,0
Q9UBC9,100,169,86.98,0,0
Q96PI1,100,79,51.9,94.94,0
Q9H040,100,489,35.58,1.64,0
Q8NCJ5,24.21,442,6.56,5.2,0
Q8WW59,8.7,207,0,0,0
Q5W111,17.35,196,7.65,0,0
P49903,0,392,4.08,0,0
Q9NUQ6,100,558,64.34,0,0
Q99611,22.1,448,11.16,0,0
Q96BD6,17.95,273,0.73,0,0
Q99619,13.69,263,29.66,0,0
Q6PJ21,44.79,355,15.49,0,0
Q96A44,19.41,273,16.85,0,0
P52788,0.27,366,1.64,0,0
Q7Z6I5,100,190,13.68,0,0
Q96N96,22.09,652,28.22,0.61,0
Q9BXB7,65.91,569,18.63,0,0
Q96L03,71.47,361,6.93,0,0
Q7Z5L4,100,167,37.72,0,0
Q8TB22,24.43,786,10.18,0,0
Q7Z572,59.28,469,52.24,12.15,0
Q8NHS9,100,363,50.14,0,0
Q9BR10,100,227,51.1,0,9.25
Q68D10,100,685,90.8,40.88,0
Q96LK8,100,384,65.62,0,0
Q96N06,100,139,95.68,0,0
Q537H7,100,98,26.53,0,0
P63272,0,117,0,0,0
O00267,57.96,1087,43.61,20.33,0
Q7KZ85,41.43,1726,31.4,14.66,0
P02549,11.86,2419,11.58,0,0
Q8NHX4,100,192,43.23,0,0
P11277,16.28,2137,10.39,0,0
Q01082,14.93,2364,17.81,0,0
O15269,18.6,473,0,0,4.44
O15270,29.54,562,1.07,0,3.74
Q9NUV7,23.55,552,4.17,0,3.8
Q96JI7,100,2443,1.43,0,1.72
Q13813,20.75,2472,15.29,0,0
O15020,10.13,2390,19.96,0,0
Q9H254,20.44,2564,21.45,0,0
Q9NRC6,42.46,3674,16.6,0,0
Q969W0,100,71,0,0,56.34
Q8NFR3,100,76,0,0,51.32
Q8TED4,16.17,501,4.59,0,50.3
Q8NCC5,15.59,494,0.81,0,51.01
Q5VSR9,100,72,77.78,0,0
Q5MJ10,100,180,92.22,0,0
Q5MJ09,100,141,90.07,0,0
Q5MJ08,100,99,100,0,0
Q5MJ07,100,72,77.78,0,0
Q9BT56,100,116,18.1,0,0
O43609,100,319,50.16,40.75,0
O43597,95.87,315,49.21,41.59,0
O43610,100,288,27.43,43.06,0
Q9C004,95.65,299,37.46,45.48,0
P21549,0,392,1.79,0,0
Q9BXG8,100,430,64.65,0,0
Q9Y6N5,14,450,1.56,0,0
Q13501,52.73,440,50.23,5.23,0
O15042,66.96,1029,64.92,33.04,0
Q8N9Q2,100,155,77.42,43.23,0
Q9HD15,44.49,236,65.68,20.76,0
Q96JX3,65.14,654,2.75,0,3.52
Q8WTU2,27.83,575,10.78,0,0
Q8N5C6,28.64,995,17.89,0.4,0
P36956,92.85,1147,34.87,13.43,3.66
Q12772,93.08,1141,20.33,16.91,3.68
Q9BX66,76.78,1292,67.41,0,0
O94875,79.91,1100,57.27,3,0
Q14247,88,550,58,0,0
Q6ZRS2,83.22,3230,70.5,59.32,0
Q86TD4,53.76,932,53.86,0,0
P23327,100,699,85.84,4.01,0
Q9C0H9,88.91,1055,70.9,8.82,0
A1L4H1,74,1573,65.35,40.75,0
Q4G0T1,49.27,1027,3.6,0,2.04
P12931,0.19,536,15.86,0,0
Q96GP6,58.39,870,40.34,22.99,2.41
Q14162,55.18,830,38.55,39.76,2.53
Q8WXA9,77.17,508,76.77,56.1,0
Q8NEF9,100,429,64.34,0,0
P11831,79.53,508,68.9,28.94,0
P0DJJ0,25.49,459,13.07,0,0
Q9UGK8,17.25,458,14.19,0,0
P10124,100,158,26.58,0,0
Q7Z6B7,39.54,1085,38.06,1.29,0
O75044,32.96,1071,35.2,6.26,0
O43295,36.4,1099,37.31,0,0
Q9H3Y6,11.07,488,4.71,0,0
P49458,1.16,86,2.33,0,0
P37108,19.12,136,23.53,21.32,0
P09132,16.67,144,22.22,0,0
P61011,3.37,504,7.34,0,0
Q9UHB9,64.91,627,15.63,2.55,0
O76094,27.27,671,26.23,2.09,0
Q96SB4,6.26,655,43.66,0,0
P78362,7.27,688,45.06,0,0
Q9UPE1,34.74,567,30.86,0.88,0
Q9Y5M8,11.44,271,2.21,0,7.75
P08240,24.76,638,29.31,0,0
O60687,12.04,465,5.59,0,0
P78539,41.16,464,4.09,0,0
Q9UH36,100,339,13.57,3.54,0
Q8IYB3,87.94,904,85.84,76.77,0
Q9UQ35,100,2752,97.42,93.53,0
A6NNA2,92.46,597,95.31,69.68,0
A7MD48,100,611,97.87,81.83,0
B3KS81,100,715,100,99.3,0
Q9BXP5,67.47,876,54.11,32.76,0
Q9GZT4,0,340,5.88,0,0
O75494,63.74,262,67.56,59.16,0
Q05519,65.29,484,67.77,9.09,0
Q8WXF0,63.6,261,70.88,57.47,0
Q07955,10.08,248,57.26,28.23,0
Q01130,54.3,221,83.71,50.23,0
P84103,47.56,164,53.66,48.17,0
Q08170,67.61,494,76.72,69.23,0
Q13243,37.13,272,58.82,33.82,0
Q13247,46.51,344,68.02,47.67,0
Q16629,58.82,238,57.56,49.58,0
Q9BRL6,66.31,282,91.13,43.62,0
Q13242,11.76,221,25.34,10.41,0
Q9UHV2,100,236,51.69,0,0
Q14140,100,314,61.46,0,0
Q9UJW9,100,196,35.2,0,0
Q9NUC0,100,356,22.19,8.43,0
A2A2V5,100,107,4.67,4.67,19.63
Q9BYN0,11.68,137,22.63,0,0
Q05066,31.86,204,31.86,0,0
O60232,100,199,41.71,17.59,0
Q7Z2R9,100,100,50,0,0
P81877,100,361,73.13,59,0
Q9BWW4,100,388,77.58,70.1,0
Q9BWG4,100,385,75.32,40.26,0
Q04837,10.14,148,0,0,0
P51649,8.97,535,0.93,0,0
Q9NQ55,63,473,42.71,0,0
P28290,100,1259,56.47,0,0
Q8WYL5,83.89,1049,52.91,0,0
Q76I76,89.81,1423,53.83,0,0
Q8TE77,72.08,659,46.74,0,0
Q8WWF3,100,244,68.03,0,8.61
O43805,100,119,25.21,0,0
Q14714,100,243,15.64,0,34.57
A2VEC9,75.52,5147,5.46,0,0
P30872,26.09,391,12.53,0,43.99
P30874,20.87,369,4.34,0,40.92
P32745,29.9,418,23.92,3.59,38.52
P31391,26.55,388,3.09,0,41.49
P35346,20.88,364,6.87,0,47.25
P43307,100,286,27.97,0,7.34
P43308,100,183,2.73,0,10.93
P51571,100,173,0,0,12.14
Q9UNL2,100,185,4.32,0,46.49
Q08945,39.77,709,40.34,25.81,0
Q9NP77,0,194,8.76,0,0
Q9Y2M2,54.39,353,7.37,18.13,0
A6NEJ1,100,151,20.53,0,0
Q16384,100,188,68.09,0,0
Q16385,100,188,66.49,0,0
Q99909,100,188,62.23,0,0
O60224,100,188,63.3,0,0
O60225,100,188,68.62,0,0
Q7RTT6,100,188,73.4,0,0
Q7RTT5,100,188,68.62,0,0
Q7RTT4,100,187,65.78,0,0
Q7RTT3,100,188,63.3,0,0
Q15532,100,418,97.13,59.57,0
Q8IZP2,11.25,240,55.83,23.75,0
Q9Y5Y6,10.29,855,1.4,0,2.46
Q9UEE5,33.57,414,17.15,1.21,0
O94768,16.67,372,13.44,1.08,0
O60284,74.98,1047,53.49,0,0
P50225,0,295,0.68,0,0
P50226,0,295,0,0,0
P50224,0,295,NA,0,0
O43704,0,296,0,0,0
O00338,0.68,296,4.05,0,0
Q6IMI6,0,304,1.97,0,0
O75897,1.99,302,1.66,0,0
P49888,0,294,2.04,0,0
Q9HBF5,100,79,0,0,0
Q06520,0,285,0,0,0
O00204,1.92,365,21.64,16.71,0
Q8WU08,3.54,396,10.61,0,0
Q9NY57,15.46,414,11.35,0,0
Q86UX6,27.57,486,26.54,0,0
Q9Y2H1,22.84,464,10.56,0,0
P0CL83,100,205,0.98,0,0
P0CL84,100,134,0,0,0
P0CL85,100,134,0,0,0
Q8TBR4,100,150,10,0,0
Q9BR01,0,284,4.58,0,0
P78524,71.06,1137,49.43,12.84,0
O94864,100,414,50.97,0,0
Q6IMI4,10.89,303,0,0,0
Q8TDW4,39.3,575,6.78,0,7.3
Q9NRC1,45.3,585,4.44,0,10.77
Q9Y3M8,52.2,1113,33.33,0,0
P42229,13.48,794,7.68,0,0
P51692,12.58,787,8.89,0,0
Q9NY15,44.32,2570,1.36,0,0.82
Q8WWQ8,36.97,2551,2.08,0,0.82
O95630,16.98,424,17.22,17.45,0
Q6ZMT1,52.8,411,43.31,7.79,0
Q96MF2,42.58,364,40.38,3.3,0
Q99469,53.73,402,39.05,0,0
Q8WVM7,100,1258,24.24,0.79,0
Q8N3U4,100,1231,21.53,0.49,0
Q9UJ98,100,1225,26.53,1.47,0
Q96FJ0,37.39,436,7.34,0,0
Q92783,35.56,540,43.15,0,0
O75886,36.95,525,39.81,0,0
Q9ULZ2,7.46,295,24.07,0,0
Q9UGK3,40.2,403,35.98,22.08,0
Q14849,41.35,445,3.15,0,18.88
Q96DR4,3.41,205,0,0,0
Q9NSY2,0.94,213,0.94,0,0
P59095,0,220,6.36,0,0
Q9NQZ5,42.16,370,12.43,0,0
Q92502,58.55,1023,39.2,0.88,0
Q9P2P6,84.55,4700,56.21,1.51,0
P49675,23.16,285,7.72,0,0
P42224,0,750,6.93,0,0
P52630,13.4,851,10.81,0,0
P40763,9.74,770,10.52,0,0
Q14765,8.69,748,9.09,0,0
P42226,23.38,847,27.98,0,0
P02808,100,62,0,0,0
O95793,31.72,577,52.69,0,0
Q9NUL3,31.4,570,59.82,0,0
Q9Y2K9,22.34,1186,10.79,0,0
O95210,73.74,358,46.93,0,4.75
P52823,100,247,17.81,0,0
O76061,100,302,35.76,0,0
Q9UHE8,100,339,2.36,0,37.17
Q8NFT2,43.88,490,0,0,25.71
Q658P3,37.7,488,2.25,0,25.82
Q687X5,42.27,459,0,0,27.45
Q6NZ63,100,245,1.22,0,34.29
Q13285,16.49,461,23.21,0,0
Q8IWL8,100,128,17.19,0,0
Q15468,98.76,1287,41.49,0,0
Q13586,47.88,685,41.17,16.2,3.07
Q9P246,53.89,746,35.25,5.9,2.28
Q86WV6,36.15,379,10.29,0,21.9
P31948,3.5,543,28.73,0,0
O94804,67.46,968,52.07,13.95,0
Q15831,26.56,433,18.48,0,0
O75716,2.95,305,4.26,0,0
P49842,100,368,26.09,0,0
Q9Y6E0,16.93,443,13.54,0,0
O00506,12.91,426,24.65,0,0
Q9BXU1,53.78,1019,4.02,0,0
Q9BYT3,42.8,514,30.54,0.78,0
Q8TDR2,44.38,534,36.7,27.72,0
Q9NRP7,60,1315,13.69,0,0
Q15208,23.01,465,10.75,0,0
Q9UEW8,28.99,545,22.2,7.71,0
Q13188,1.63,491,38.7,2.65,0
Q8N2I9,13.33,435,14.25,0,0
Q13043,23.61,487,34.29,1.23,0
H3BQB6,100,276,76.09,0,0
Q9UBI4,30.4,398,12.31,0,5.28
Q9UJZ1,60.67,356,16.85,0,0
Q8TAV4,41.92,291,3.09,0,7.22
P16949,16.78,149,91.95,0,0
Q93045,30.73,179,32.96,0,0
Q9NZ72,30.56,180,67.78,0,0
Q9H169,34.92,189,38.1,0,0
Q9H668,2.99,368,1.63,0,0
P27105,41.32,288,4.51,0,10.07
Q9Y6Q2,54.97,735,18.64,0,0
Q8WXE9,68.4,905,40.22,0,0
Q6ZVD7,100,989,48.94,0,0
Q9P2F5,100,926,72.57,0,0
P09430,100,55,100,0,0
Q05952,100,138,100,0,0
Q9H6E5,38.33,874,38.79,9.38,0
Q5TH74,100,334,28.74,0,0
Q8N412,100,459,14.6,0,0
Q9BX79,100,667,8.55,0,28.34
Q7Z7C7,100,330,9.7,0,0
Q7RTN6,2.09,431,17.63,0,0
Q9C0K7,12.44,418,5.98,0,0
Q9Y3F4,15.14,350,6.57,0,0
Q96SI9,21.13,672,25.15,0.6,0
A6NGW2,100,1772,6.55,0,0
Q7RTU9,100,1775,6.48,0,0
Q13033,44.42,797,34.76,1,0
Q9NRL3,47.41,753,37.32,1.2,0
O43815,43.59,780,27.56,0,0
Q5VSL9,100,837,22.22,4.06,0
Q9ULQ0,100,834,15.35,0.72,0
Q12768,100,1159,0.17,0,0
P08842,3.6,583,1.37,0,7.89
P46977,14.33,705,0.99,0,33.19
Q8TCJ2,25.67,826,8.35,0,27.97
Q69YW2,100,141,2.13,0,29.79
O60499,4.42,249,8.03,0,8.43
O75558,11.85,287,9.41,0,0
Q86Y82,9.06,276,43.48,0,7.61
O14662,25.54,325,16.62,0,6.46
P56962,45.03,302,8.61,0,13.91
Q9P2W9,25.97,335,33.13,0,6.27
Q8N4C7,12.59,294,6.46,4.08,0
Q16623,5.9,288,32.99,0,7.29
P61266,5.9,288,32.99,0,8.33
P32856,6.25,288,20.14,0,8.33
Q13277,7.27,289,23.18,0,7.27
Q12846,9.43,297,29.63,0,7.07
Q13190,27.32,355,19.72,0,5.92
O43752,5.49,255,11.76,0,8.24
O15400,9.96,261,36.4,0,8.05
Q9UNK0,11.02,236,17.8,0,7.2
P61764,6.4,594,8.42,0,0
Q15833,0,593,5.06,0,0
O00186,6.93,592,2.7,0,0
Q6ZWJ1,75.05,553,9.22,0,0
Q5T5C0,17.55,1151,17.9,1.13,0
Q8NFX7,36.67,210,11.9,0,0
Q6J9G0,34.6,422,4.5,0,4.98
Q9Y6J8,12.78,313,3.19,0,0
Q8WUJ0,20.18,223,8.97,0,0
P53597,10.4,346,3.76,0,0
Q9P2R7,13.61,463,1.08,0,0
Q96I99,4.17,432,0.46,0,0
Q9HAC7,16.4,445,5.62,0,0
Q9UBS9,88.92,1254,43.06,0,1.67
Q9BXA5,10.48,334,0,0,44.01
Q9UMX1,0,484,27.07,0,0
Q8IWZ8,76.12,645,61.71,13.02,0
Q8IX01,87.71,1082,43.07,7.02,0
Q9Y2Z0,13.7,365,8.77,0,0
Q06330,14.6,500,19,0,0
P14410,3.78,1827,2.13,0.99,1.09
Q8IWU6,54.76,871,14.35,0,0
Q8IWU5,55.4,870,5.17,0,0
Q8NBK3,19.25,374,20.32,0,0
Q8NBJ7,7.97,301,19.93,0,0
P63165,0,101,45.54,0,0
P61956,0,95,50.53,0,0
P55854,0.97,103,64.08,0,0
Q6EEV6,0,95,51.58,0,0
O94901,75.99,812,16.75,0,2.46
Q9UH99,72.38,717,17.43,24.27,2.93
Q8TAQ9,45.94,357,8.12,0,4.76
Q8TC36,50.66,379,15.83,0,4.49
P51687,15.05,545,14.5,0,0
O75486,67.92,399,26.57,0,0
Q15526,100,300,11.33,0,12
Q15527,100,256,48.44,0,0
O15260,100,269,0,0,39.03
O75683,100,361,81.99,0,0
Q6UWL2,11.78,747,2.14,0,2.81
Q9UGT4,79.68,822,7.91,0,2.55
Q96L08,67.84,255,38.04,0,8.24
Q5VX71,44.08,490,22.86,0,4.29
O60279,77.58,629,41.81,0,3.34
Q8IYB8,13.99,786,12.21,0,0
O43463,14.56,412,0,0,0
Q9H5I1,10.98,410,0.73,0,0
Q15022,100,739,41.95,8.25,0
Q7L0J3,43.53,742,14.82,0,33.96
Q7L1I2,39.82,683,10.83,0,36.9
Q496J9,28.34,727,17.19,0,34.66
Q4FZB7,69.15,885,59.44,0,0
Q86Y97,46.54,462,18.61,0,0
Q4LDE5,73.62,3571,1.79,0,0
O95425,68.47,2214,53.97,0,0
Q8NHG7,100,77,97.4,0,0
Q8N434,20.73,492,0,0,42.68
Q8N4V2,28.28,548,4.93,0,45.99
Q2M3V2,59.93,549,56.65,41.35,0
A6NEL2,67.09,793,59.27,19.04,0
Q53LP3,58.86,525,64.57,19.05,0
A6NJG2,24.76,315,35.24,0,0
Q6NVH7,9.61,229,24.02,0,0
Q9BRV3,100,221,0,0,66.52
Q1ZZU3,66.38,235,36.17,0,0
Q9UH65,53.5,585,30.43,0.68,0
Q5T5J6,84.78,900,25.56,0.78,0
Q58G82,2.66,188,5.32,0,0
P49588,11.05,968,1.86,0,0
Q5JTZ9,13.5,985,9.44,0,0
Q96A49,72.16,352,46.31,0,0
Q9NX95,100,663,51.58,30.17,3.17
A8MT33,100,242,39.26,0,0
Q5T4T6,100,812,34.36,0,0
P49589,20.86,748,11.5,0,0
Q8N0S2,100,351,43.59,11.11,0
Q6PIF2,100,218,48.62,0,0
A1L190,100,88,18.18,0,0
Q9HA77,16.49,564,6.21,0,0
Q0VAF6,32.09,134,0,0,0
Q15431,100,976,25.61,10.04,0
Q9BX26,100,1530,34.25,0.39,0
Q8IZU3,100,236,27.12,54.24,0
P14868,0,501,12.57,0,0
Q6ZW31,49.39,735,49.66,17.82,0
Q5VT97,76.38,1194,39.87,0,0
Q6PI48,6.2,645,8.37,0,0
Q5JPH6,9.94,523,10.9,0,0
P07814,13.36,1512,15.54,0,0
Q9HCS7,14.74,855,10.06,0,0
O95926,100,243,21.4,0,0
Q9Y285,0,508,8.27,0,0
Q9NSD9,0,589,0,0,0
O95363,8.2,451,7.1,0,0
Q96PV0,66.94,1343,52.57,0,0
P41250,7.31,739,3.52,0,0
P12081,0,509,0.98,0,0
P49590,10.47,506,0.99,0,0
P41252,28.61,1262,0.16,0,0
Q9NSE4,10.18,1012,3.95,0,0
P57105,6.21,145,3.45,0,14.48
Q15046,14.07,597,16.75,0,0
Q9P2J5,14.2,1176,3.06,0,0
Q15031,9.97,903,1.99,0,0
P56192,2,900,9,0,0
Q96GW9,7.08,593,2.02,0,0
Q92797,69,1274,24.33,0.63,0
A6NDD5,100,238,47.06,0,17.65
P17600,56.74,705,58.44,0,0
Q92777,47.08,582,42.78,4.3,0
O14994,41.03,580,44.31,0,0
Q9H7C4,40.46,482,59.13,0,0
O43776,1.09,548,9.67,0,0
Q8NF91,81.58,8797,11.69,0.76,0.24
Q8WXH0,72.08,6885,14.16,0,0.31
Q6ZMZ3,10.97,975,10.15,0,2.15
Q8N205,100,404,52.23,0,5.2
O15061,87.28,1565,63.9,0,0
Q9H7V2,100,258,17.83,1.94,16.28
O43426,45.14,1573,33.12,42.85,0
O15056,43.45,1496,30.61,9.49,0
Q96I59,8.81,477,0.63,0,0
Q9UMS6,91.67,1093,72.92,12.9,0
Q8N3V7,100,929,92.14,16.79,0
Q8TBG9,100,265,9.81,0,31.7
Q9UMZ2,94.06,1314,48.1,0,0
Q9H987,91.1,977,90.17,68.37,0
P08247,100,313,25.88,0,30.67
Q16563,100,259,6.18,0,32.43
Q5VXT5,100,272,16.18,0,30.88
Q7L3T8,10.95,475,0.21,0,0
P47897,6.71,775,3.61,0,0
P54136,12.58,660,1.67,0,0
Q5T160,1.56,578,0.69,0,0
Q8N2H4,100,156,0,0,53.85
P49591,0,514,10.89,0,0
Q9NP81,9.85,518,10.23,0,0
Q6XYQ8,30.4,523,17.78,0,4.02
Q9BT88,35.96,431,15.31,0,4.87
Q8IV01,35.39,421,6.89,0,4.99
Q7L8C5,36.38,426,15.26,0,5.4
Q8NB59,43.96,555,23.78,0,4.14
Q9BQS2,34.68,421,6.18,0,5.94
Q17RD7,57.83,645,48.37,0,0
Q9BSW7,26.16,474,15.82,3.8,0
P21579,28.2,422,12.56,0,5.45
Q8N9I0,33.17,419,19.09,0,5.01
Q9BQG1,40.34,590,36.27,0,3.56
Q9H2B2,30.82,425,13.65,0,4.94
O00445,27.72,386,16.58,0,5.44
Q5T7P8,27.45,510,17.45,0,4.12
O43581,25.56,403,22.33,0,5.21
Q8NBV8,29.68,401,15.21,2.49,5.24
Q86SS6,27.49,491,23.63,0,4.28
A2RTX5,17.83,802,5.24,0,0
P26639,8.16,723,10.1,0,0
Q8IYJ3,36.3,562,48.04,3.91,0
Q9HCH5,45.72,934,61.56,4.39,0
Q4VX76,19.34,610,18.52,0,0
Q96C24,33.38,671,22.35,1.04,0
Q8TDW5,37.95,730,33.7,0,0
Q9BW92,8.08,718,3.62,0,0
P37840,0,140,37.86,0,0
Q16143,4.48,134,66.42,0,0
O76070,19.69,127,66.14,0,0
P26640,12.03,1264,11.08,0,0
Q5ST30,16.37,1063,13.17,0,0
Q86TM6,92.06,617,41.98,22.69,17.02
P23381,0,471,9.13,0,0
Q9UGM6,6.39,360,4.44,0,0
P54577,0,528,10.23,0,0
Q9Y2Z4,7.34,477,6.71,0,0
Q7Z422,100,152,100,0,0
Q5T011,100,3432,26.89,0,0
Q96A25,100,262,2.67,0,8.02
Q9NUM4,100,274,8.39,0,7.66
Q9BVX2,100,250,8.8,0,16.8
Q9Y5J6,39.81,103,17.48,0,0
Q3SY00,100,556,81.12,0,0
Q9NUJ3,100,509,12.77,0,0
Q8N4U5,100,519,11.56,7.71,0
B4DZS4,100,312,17.63,0,0
Q5H9J9,100,407,4.42,0,0
Q9BXJ8,100,343,5.54,0,30.61
A0PK00,100,339,1.18,0,37.76
Q9H061,100,195,2.05,0,41.03
Q8IUX1,100,230,2.17,0,36.52
A2VDJ0,100,1609,20.57,2.11,1.31
Q24JP5,100,1023,36.56,2.35,2.05
Q14DG7,100,1078,16.05,0,1.95
Q8N3T6,100,1108,22.11,0,1.9
Q14C87,100,1099,16.29,0,1.91
Q6IEE7,100,984,27.03,0,2.13
Q86TG1,100,271,0.37,0,38.75
A6NC51,100,233,0,0,45.06
B9EJG8,100,249,0,0,50.6
Q8N4L1,100,468,16.88,0,8.97
Q8IW70,98.59,566,13.43,3.18,7.42
Q9NX61,100,479,1.46,0,35.07
Q8NDZ6,100,487,0.62,0,34.5
Q8WVE7,100,144,2.78,0,43.75
Q5T4T1,100,132,0,0,47.73
Q96HP8,100,235,4.68,0,35.74
Q3YBM2,100,270,6.67,0,31.11
Q8NBL3,43.43,297,8.75,0,21.21
H3BS89,45.24,294,0,0,21.43
Q6ZVK1,100,233,0,0,36.05
Q7Z7N9,100,219,1.37,0,38.36
Q8IXX5,100,376,18.09,0,5.59
Q1AE95,100,376,16.76,0,5.59
Q6ZMB5,100,413,14.53,0,36.08
Q9Y519,100,407,4.42,0,36.12
Q9NVA4,100,438,17.35,0,33.56
Q8NFB2,100,350,5.14,0,42
Q9H7F4,100,350,3.14,0,42
Q9H0A3,100,160,0,0,26.25
P0C7N4,100,160,0,0,26.25
A6NGB0,100,121,0,0,17.36
O14524,100,444,2.03,0,28.38
A6NFY4,100,417,0,0,30.22
Q86VY9,100,491,36.46,0,8.55
Q69YZ2,100,307,48.21,39.09,13.68
A6NKL6,100,621,62.48,28.18,6.76
B2RXF0,100,380,22.37,0,33.16
Q8NBD8,100,167,0,0,50.3
Q15714,94.41,1073,76.89,36.53,0
O75157,90.13,780,80.38,0,0
Q99576,42.54,134,24.63,0,0
Q9Y3Q8,85.82,395,80.25,0,0
P48775,15.27,406,2.96,0,0
Q5JRV8,100,349,5.73,18.62,24.07
Q8WV15,100,326,7.36,21.47,25.77
P52657,0.92,109,3.67,0,0
P29083,44.42,439,50.8,3.64,0
P29084,72.16,291,34.02,13.06,0
P35269,51.06,517,73.31,13.15,0
P13984,24.9,249,19.68,0,0
Q6P1K8,27.59,395,3.04,0,0
Q9NYW0,6.84,307,0,0,47.88
Q9NYV9,6.27,303,0,0,48.51
Q9NYV8,9.78,317,1.58,0,46.37
Q9NYV7,7.22,291,0,0,50.52
P59542,6.02,299,0,0,49.16
P59543,8.09,309,0,0,47.57
P59541,10.34,319,0,0,46.08
P59538,7.77,309,0,0,47.57
P59533,14.11,333,0,0,44.14
P59534,1.78,338,0.59,0,43.49
P59535,9.6,323,0,0,45.82
P59536,8.14,307,0,0,47.88
Q7RTR8,9.24,314,0,0,46.82
P59537,7.77,309,0,0,47.57
P59539,5.35,299,0,0,49.16
P59540,8.09,309,0,0,47.57
P59544,5.35,299,0,0,49.16
P59551,10.06,318,0.31,0,46.23
Q96EM0,4.52,354,4.24,0,0
Q9Y228,100,551,36.12,0,3.27
C9J1S8,8.19,452,0.88,0,0
Q96CE8,100,201,0,0,41.79
Q96DZ7,100,209,0,0,40.19
P30408,100,202,0,0,41.58
Q53R12,100,229,0,0,36.68
P48230,100,202,0,0,41.58
O14894,100,197,0.51,0,42.64
Q9Y2A0,100,90,15.56,0,0
Q9ULZ0,100,132,21.97,0,0
Q9Y2B4,100,290,46.21,0,0
Q96A56,100,240,35.83,19.17,0
Q8IXH6,100,220,70,0,0
Q9UF72,100,201,41.29,0,0
Q9NYW7,5.02,299,0,0,49.16
Q9NYW6,8.54,316,2.22,0,46.52
Q9NYW5,4.68,299,0,0,49.16
Q9NYW4,7.02,299,0,0,49.16
Q9NYW3,8.49,318,0,0,46.23
Q9NYW2,7.77,309,0,0,47.57
Q9NYW1,8.65,312,0,0,49.04
P21731,12.24,343,1.46,0,46.94
Q9Y3F1,100,56,0,0,0
Q96RJ0,12.98,339,0,0,43.36
Q9P1P5,17.38,351,0,0,42.45
Q9P1P4,17.49,343,0,0,43.15
O14804,11.87,337,0,0,44.21
Q96RI8,15.65,345,0.29,0,41.16
Q969N4,14.91,342,0,0,42.98
Q96RI9,16.38,348,0,0,42.53
Q15750,10.32,504,29.56,1.19,0
Q9NYJ8,85.14,693,71.28,0,0
Q8N5C8,86.24,712,79.78,43.54,0
Q8N9U0,33.67,490,12.04,0,0
O75410,89.44,805,60.12,0,0
O95359,100,2948,88.13,4.51,0
Q9Y6A5,82.7,838,72.2,0.72,0
P09758,66.56,323,4.33,0,7.12
